service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20240229,20240329
IDFM:10017,0,0,0,0,0,0,1,20240303,20240324
IDFM:11534,0,0,0,0,0,0,1,20240317,20240317
IDFM:100026,0,0,0,0,0,1,0,20240302,20240323
IDFM:100028,0,0,0,0,0,0,1,20240303,20240324
IDFM:100041,0,0,0,0,0,0,1,20240303,20240303
IDFM:100166,0,0,0,0,0,0,1,20240310,20240324
IDFM:101212,0,0,0,0,1,0,0,20240301,20240329
IDFM:101494,1,1,1,1,1,1,0,20240229,20240329
IDFM:101495,1,1,1,1,1,1,1,20240229,20240329
IDFM:101497,0,0,0,0,0,1,1,20240302,20240324
IDFM:105240,1,1,1,1,1,0,1,20240229,20240329
IDFM:108219,1,1,1,1,0,0,0,20240229,20240328
IDFM:120305,0,0,0,0,1,1,0,20240301,20240329
IDFM:121757,1,1,1,1,0,0,1,20240229,20240328
IDFM:129994,0,0,0,0,0,1,0,20240309,20240323
IDFM:130125,0,0,0,0,0,1,0,20240302,20240302
IDFM:144903,0,0,0,0,1,0,1,20240301,20240329
IDFM:145019,1,1,1,1,0,1,1,20240229,20240328
IDFM:147511,1,1,1,1,0,1,0,20240229,20240328
IDFM:151751,0,0,0,0,0,1,1,20240302,20240324
IDFM:153619,1,1,1,1,1,0,0,20240229,20240329
IDFM:155896,1,1,1,1,0,0,0,20240229,20240329
IDFM:155900,0,0,0,0,1,0,0,20240301,20240322
IDFM:155913,1,1,1,0,0,0,0,20240304,20240320
IDFM:155914,0,0,0,1,1,0,0,20240229,20240329
IDFM:156008,0,0,0,1,0,0,1,20240229,20240329
IDFM:156011,0,0,0,1,0,1,1,20240229,20240329
IDFM:156012,0,0,0,1,1,1,1,20240229,20240329
IDFM:156041,0,0,0,1,1,1,0,20240229,20240329
IDFM:156181,0,0,0,0,1,1,0,20240301,20240323
IDFM:156342,1,1,1,1,0,0,1,20240229,20240329
IDFM:156850,1,1,1,1,0,1,0,20240229,20240329
IDFM:164878,0,0,0,0,0,0,1,20240303,20240317
IDFM:164882,0,0,0,0,0,1,1,20240302,20240317
IDFM:164894,1,1,1,1,1,0,0,20240229,20240329
IDFM:165001,1,1,1,1,1,1,0,20240229,20240329
IDFM:165082,1,1,1,1,1,1,0,20240229,20240329
IDFM:165219,0,0,0,0,0,1,0,20240302,20240316
IDFM:165284,0,0,0,0,1,1,0,20240301,20240329
IDFM:165487,1,1,1,1,0,1,0,20240229,20240328
IDFM:165708,1,1,1,1,0,0,0,20240229,20240328
IDFM:166554,1,1,1,1,1,1,0,20240229,20240329
IDFM:166557,1,1,1,1,1,0,1,20240229,20240329
IDFM:166560,0,0,0,0,0,0,1,20240302,20240324
IDFM:166565,0,0,0,0,0,1,1,20240302,20240303
IDFM:166571,0,0,0,0,1,0,0,20240301,20240329
IDFM:166616,1,1,1,1,1,0,0,20240229,20240329
IDFM:166629,1,1,1,1,0,0,0,20240229,20240328
IDFM:166637,1,1,1,1,1,0,0,20240229,20240329
IDFM:166902,0,0,0,0,0,1,1,20240309,20240324
IDFM:166922,1,1,1,1,0,1,0,20240229,20240328
IDFM:166931,0,0,0,0,1,1,0,20240301,20240329
IDFM:167068,0,0,0,0,0,1,0,20240302,20240323
IDFM:167075,1,1,1,1,1,1,0,20240229,20240329
IDFM:167095,1,1,1,1,1,0,1,20240229,20240329
IDFM:167650,1,1,1,1,0,0,1,20240229,20240328
IDFM:168171,1,1,1,1,0,0,0,20240229,20240328
IDFM:168239,1,1,1,1,1,1,1,20240229,20240329
IDFM:169063,0,0,0,0,0,1,0,20240303,20240323
IDFM:169096,0,0,0,0,0,0,1,20240302,20240324
IDFM:174848,0,0,0,0,1,1,1,20240301,20240329
